Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
"The Beatles (""The White Album"")",The Beatles,1968,,10,,10
Ready to Die,The Notorious B.I.G.,1994,,,22,22
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,1993,,,27,27
Superfly,Curtis Mayfield,1972,,,76,76
Never Mind the Bollocks - Here's the Sex Pistols,Sex Pistols,1977,,,80,80
Automatic for the People,R.E.M.,1992,,,96,96
Hotel California,The Eagles,1976,,,118,118
Pretenders,The Pretenders,1980,,,152,152
Murmur,R.E.M.,1983,,,165,165
Life After Death,The Notorious B.I.G.,1997,,,179,179
Raising Hell,Run-DMC,1986,,,209,209
Trans Europe Express,Kraftwerk,1977,,,238,238
3rd/Sister Lovers,Big Star,1978,,,285,285
The Modern Lovers,The Modern Lovers,1976,,,288,288
"Weezer (""The Blue Album"")",Weezer,1994,,299,,299
Siamese Dream,The Smashing Pumpkins,1993,,,341,341
Run-D.M.C.,Run-D.M.C.,1983,,,378,378
(Pronounced 'Lĕh-'nérd 'Skin-'nérd),Lynyrd Skynyrd,1973,,,381,381
Beauty and the Beat,The Go-Go's,1981,,,400,400
Going to a Go Go,Smokey Robinson and The Miracles,1965,,,412,412
"The ""Chirping"" Crickets",Buddy Holly,1957,,420,,420
#1 Record,Big Star,1972,,,474,474
